LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
5424,17092711082198812017-09-01,9475,27919
5434,NMF02000_2019_SAND-2582019-09-01,9476,27920
5434,NMF02000_2019_SAND-2582019-09-01,9475,27919
5442,15100611143317682015-09-01,9476,27920
5442,15100611143317682015-09-01,9475,27919
5443,NM_TFO_LUP_2021_TC-090_V22023-09-01,9476,27920
5443,NM_TFO_LUP_2021_TC-090_V22023-09-01,9475,27919
5466,NM_RioPuerco_LUP_2017_PJ-250_V12021-09-01,6631,19857
5466,NM_RioPuerco_LUP_2017_PJ-250_V12021-09-01,6630,19856
5500,NM_RioPuerco_LUP_2017_SB_290_V12020-09-01,9683,28511
5500,NM_RioPuerco_LUP_2017_SB_290_V12020-09-01,9684,28510
5506,20173543202207B1,4526,13829
5506,20173543202207B1,4525,13828
5510,20173543202207B2,4526,13829
5510,20173543202207B2,4525,13828
5533,16101311113592082016-09-01,959,2932
5533,16101311113592082016-09-01,958,2931
5736,15092809290612732015-09-01,11219,33055
5736,15092809290612732015-09-01,11218,33054
5741,NM_Taos_LUP_2016_OTH-1354_V12020-09-01,11219,33055
5741,NM_Taos_LUP_2016_OTH-1354_V12020-09-01,11218,33054
5744,NM_TaosFieldOffice_2021_TC_012_V22021-09-01,11219,33055
5744,NM_TaosFieldOffice_2021_TC_012_V22021-09-01,11218,33054
5745,18080510394220072018-09-01,11219,33055
5745,18080510394220072018-09-01,11218,33054
5879,NM_TFO_LUP_2021_TC-072_V22023-09-01,774,2307
5879,NM_TFO_LUP_2021_TC-072_V22023-09-01,773,2306
5880,18081907584148492018-09-01,774,2307
5880,18081907584148492018-09-01,773,2306
5900,NM_Farmington_LUP_2020_FOR_069_V12020-09-01,4278,13103
5900,NM_Farmington_LUP_2020_FOR_069_V12020-09-01,4277,13102
5939,14070709325347222014-09-01,8783,26039
5939,14070709325347222014-09-01,8782,26038
5940,NM_TFO_LUP_2021_TC_059_V22022-09-01,8783,26039
5940,NM_TFO_LUP_2021_TC_059_V22022-09-01,8782,26038
5950,15061110313968692015-09-01,11295,33246
5950,15061110313968692015-09-01,11294,33245
5978,NMF02000_2019_Navajo_Site-242019-09-01,4769,14568
5978,NMF02000_2019_Navajo_Site-242019-09-01,4768,14567
5981,17062712310865262017-09-01,4769,14568
5981,17062712310865262017-09-01,4768,14567
5984,NM_TFO_FUEL_CHAMA_2016_Navajo_Site-26_V12023-09-01,4769,14568
5984,NM_TFO_FUEL_CHAMA_2016_Navajo_Site-26_V12023-09-01,4768,14567
5987,15070116431381262015-09-01,10858,31995
5987,15070116431381262015-09-01,10857,31994
5990,20143539202302B3,120,291
5990,20143539202302B3,119,290
5996,18100110104573452018-09-01,8783,26039
5996,18100110104573452018-09-01,8782,26038
6004,16061509345636942016-09-01,4769,14568
6004,16061509345636942016-09-01,4768,14567
6020,NM_Taos_LUP_2016_LOAMY-141_V12020-09-01,120,291
6020,NM_Taos_LUP_2016_LOAMY-141_V12020-09-01,119,290
6024,NMF02000_2019_LIMY-1062019-09-01,4034,12410
6024,NMF02000_2019_LIMY-1062019-09-01,4033,12409
6054,NMF02000_2019_OTH-2352019-09-01,8370,24876
6054,NMF02000_2019_OTH-2352019-09-01,8369,24875
6139,NM_Targeted_PollinatorPlot2020_MtPlot_V12020-09-01,8630,25627
6139,NM_Targeted_PollinatorPlot2020_MtPlot_V12020-09-01,8629,25626
6167,NM_ConesT_Intensification2018_LOAMY_ConesT_04_V12020-09-01,8630,25627
6167,NM_ConesT_Intensification2018_LOAMY_ConesT_04_V12020-09-01,8629,25626
6174,NM_Targeted_PollinatorPlot2020_VCPlot_V12020-09-01,8630,25627
6174,NM_Targeted_PollinatorPlot2020_VCPlot_V12020-09-01,8629,25626
6323,16060207013997192016-09-01,9389,27640
6323,16060207013997192016-09-01,9388,27639
6325,18092113525731502018-09-01,9387,27637
6325,18092113525731502018-09-01,9386,27636
6339,NMF02000_2019_LOAMY-1322019-09-01,2119,6251
6339,NMF02000_2019_LOAMY-1322019-09-01,2118,6250
6348,14060308380685902014-09-01,2119,6251
6348,14060308380685902014-09-01,2118,6250
6349,NM_New-Mexico-RGdNNM-2014_Guadalupe-Mountain---02_V22021-09-01,2119,6251
6349,NM_New-Mexico-RGdNNM-2014_Guadalupe-Mountain---02_V22021-09-01,2118,6250
6352,15063009464350452015-09-01,2119,6251
6352,15063009464350452015-09-01,2118,6250
6354,18092113451185312018-09-01,11223,33061
6354,18092113451185312018-09-01,11222,33060
6356,NMF02000_2018_MALPAIS_ConesT-042019-09-01,11223,33061
6356,NMF02000_2018_MALPAIS_ConesT-042019-09-01,11222,33060
6363,18080610221599152018-09-01,6836,20457
6363,18080610221599152018-09-01,6835,20456
6368,NM_TFO_FUEL_CONES_2018_MALPAIS_ConesT-08_V12023-09-01,6836,20457
6368,NM_TFO_FUEL_CONES_2018_MALPAIS_ConesT-08_V12023-09-01,6835,20456
6369,16070310134946722016-09-01,2119,6251
6369,16070310134946722016-09-01,2118,6250
6546,1809211349192882018-09-01,5668,17160
6546,1809211349192882018-09-01,5667,17159
6572,NM_TFO_FUEL_CONES_2018_OTHER_ConesT_05_V12022-09-01,3324,10428
6572,NM_TFO_FUEL_CONES_2018_OTHER_ConesT_05_V12022-09-01,3323,10427
6594,1709021528062062017-09-01,3324,10428
6594,1709021528062062017-09-01,3323,10427
6634,NM_TFO_FUEL_CONES_2018_MALPAIS_ConesT_07_V12022-09-01,5668,17160
6634,NM_TFO_FUEL_CONES_2018_MALPAIS_ConesT_07_V12022-09-01,5667,17159
6635,18092113470127642018-09-01,3324,10428
6635,18092113470127642018-09-01,3323,10427
6640,NM_ConesT_Intensification2018_MALPAIS_ConesT_05_V12020-09-01,3324,10428
6640,NM_ConesT_Intensification2018_MALPAIS_ConesT_05_V12020-09-01,3323,10427
6648,17092009282939092017-09-01,3322,10426
6648,17092009282939092017-09-01,3321,10425
6654,1408141025573362014-09-01,5668,17160
6654,1408141025573362014-09-01,5667,17159
6662,15060411111561892015-09-01,3312,10414
6662,15060411111561892015-09-01,3313,10413
6663,16060509025065912016-09-01,1995,5916
6663,16060509025065912016-09-01,1997,5915
6709,15060310405322532015-09-01,3312,10414
6709,15060310405322532015-09-01,3313,10413
6711,NM_Taos_LUP_2016_MAL-189_V12020-09-01,3312,10414
6711,NM_Taos_LUP_2016_MAL-189_V12020-09-01,3313,10413
6744,15081713360632662015-09-01,3312,10414
6744,15081713360632662015-09-01,3313,10413
6752,14091714010783302014-09-01,11225,33063
6752,14091714010783302014-09-01,11224,33062
6790,14062309444970152014-09-01,2207,6639
6790,14062309444970152014-09-01,2206,6638
6792,NM_TaosFieldOffice_2021_TC_008_V22021-09-01,2207,6639
6792,NM_TaosFieldOffice_2021_TC_008_V22021-09-01,2206,6638
6807,15082416243316092015-09-01,7968,23657
6807,15082416243316092015-09-01,7967,23656
6833,NM_FFO_LUP_2020_FOR_121_V12022-09-01,7945,23559
6833,NM_FFO_LUP_2020_FOR_121_V12022-09-01,7944,23558
7279,CO_San-Luis-Valley-Field-Office-2020_LIMY-NR-001_V12020-09-01,12923,37404
7279,CO_San-Luis-Valley-Field-Office-2020_LIMY-NR-001_V12020-09-01,12922,37403
7428,20123545121601P1,3371,10576
7428,20123545121601P1,3370,10575
7443,NM_Farmingtion_LUP_2020_FOR_087_V12021-09-01,1708,4962
7443,NM_Farmingtion_LUP_2020_FOR_087_V12021-09-01,1707,4961
7616,2018415202705B2,10994,32433
7616,2018415202705B2,10993,32432
8180,AZ_ASDO_LUP_2021_ASDO2021-146_V12023-09-01,6908,20639
8180,AZ_ASDO_LUP_2021_ASDO2021-146_V12023-09-01,6909,20640
8182,201745200717B1,6908,20639
8182,201745200717B1,6909,20640
8184,201745200717B2,6908,20639
8184,201745200717B2,6909,20640
8746,20114925020802G2,1539,4569
8746,20114925020802G2,1540,4575
8771,UT_KFO_INTS_2021_KFOI2021_033_V12022-09-01,21769,58210
8771,UT_KFO_INTS_2021_KFOI2021_033_V12022-09-01,21768,58208
8789,UT_UT_Wire-Pass-ESR_2021_WirePass-05-NCH_V12021-09-01,21769,58210
8789,UT_UT_Wire-Pass-ESR_2021_WirePass-05-NCH_V12021-09-01,21768,58208
8816,UT_UT_Wire-Pass-ESR_2021_WirePass-06-NCH_V12021-09-01,21769,58210
8816,UT_UT_Wire-Pass-ESR_2021_WirePass-06-NCH_V12021-09-01,21768,58208
8862,UT_UT_Wire-Pass-ESR_2021_WirePass-01-CH_V12021-09-01,21769,58210
8862,UT_UT_Wire-Pass-ESR_2021_WirePass-01-CH_V12021-09-01,21768,58208
9150,UT_GSENM-LUP-Random-2020_BigSage-024_V12020-09-01,6458,19411
9150,UT_GSENM-LUP-Random-2020_BigSage-024_V12020-09-01,6459,19410
9680,UT_Monticello-LUP-Random-2020_SS-229_V12020-09-01,5068,15332
9680,UT_Monticello-LUP-Random-2020_SS-229_V12020-09-01,5067,15331
9783,UT_MNFO_LUP_2019_PJ_155_V12022-09-01,6155,18489
9783,UT_MNFO_LUP_2019_PJ_155_V12022-09-01,6154,18488
9786,UT_Monticello-LUP-Random-2020_SS-237_V12020-09-01,136,320
9786,UT_Monticello-LUP-Random-2020_SS-237_V12020-09-01,135,319
10174,UT_Grand-Staircase-Escalante-National-Monument-2021_GSENM2021-NR-009_V12021-09-01,438,1270
10174,UT_Grand-Staircase-Escalante-National-Monument-2021_GSENM2021-NR-009_V12021-09-01,437,1269
10174,UT_Grand-Staircase-Escalante-National-Monument-2021_GSENM2021-NR-009_V12021-09-01,439,1271
10177,UT_Kanab-LUP-Random-2020_143-Upland-Loam_V22020-09-01,438,1270
10177,UT_Kanab-LUP-Random-2020_143-Upland-Loam_V22020-09-01,437,1269
10177,UT_Kanab-LUP-Random-2020_143-Upland-Loam_V22020-09-01,439,1271
10178,13081807335933692013-09-01,438,1270
10178,13081807335933692013-09-01,437,1269
10178,13081807335933692013-09-01,439,1271
10187,20144925100320B1,10522,30925
10187,20144925100320B1,10521,30924
10208,20144925100320B2,10522,30925
10208,20144925100320B2,10521,30924
10216,1407140932555362014-09-01,12397,16918
10216,1407140932555362014-09-01,12396,16917
10220,UT_GSENM-LUP-Random-2020_Grassland-169_V12020-09-01,786,2328
10220,UT_GSENM-LUP-Random-2020_Grassland-169_V12020-09-01,785,2327
10222,UT_GSENM_INTS_2021_GSENM2021-072_V22023-09-01,786,2328
10222,UT_GSENM_INTS_2021_GSENM2021-072_V22023-09-01,785,2327
10248,20124925071301R1,438,1270
10248,20124925071301R1,437,1269
10248,20124925071301R1,439,1271
10262,13081709044044902013-09-01,438,1270
10262,13081709044044902013-09-01,437,1269
10262,13081709044044902013-09-01,439,1271
10263,UT_Kanab-LUP-Random-2020_142-Upland-Loam_V22020-09-01,438,1270
10263,UT_Kanab-LUP-Random-2020_142-Upland-Loam_V22020-09-01,437,1269
10263,UT_Kanab-LUP-Random-2020_142-Upland-Loam_V22020-09-01,439,1271
10274,20124925071301R2,438,1270
10274,20124925071301R2,437,1269
10274,20124925071301R2,439,1271
10553,UT_St.George-LUP-Random-2021_SC-272_V12021-09-01,10852,31977
10553,UT_St.George-LUP-Random-2021_SC-272_V12021-09-01,10851,31976
10623,20184953100206B1,2010,5954
10623,20184953100206B1,2009,5953
10640,20184953100206B2,2010,5954
10640,20184953100206B2,2009,5953
10668,UT_SGFO_LUP_2022_SGFO2022_004_V12022-09-01,2010,5954
10668,UT_SGFO_LUP_2022_SGFO2022_004_V12022-09-01,2009,5953
10683,17060610541139802017-09-01,9562,28154
10683,17060610541139802017-09-01,9563,28153
10762,UT_St.George-LUP-Random-2021_CPL-071_V12021-09-01,21975,58631
10762,UT_St.George-LUP-Random-2021_CPL-071_V12021-09-01,21974,58628
10765,20174917100303B1,4754,14542
10765,20174917100303B1,4753,14541
10770,14071108511615602014-09-01,4754,14542
10770,14071108511615602014-09-01,4753,14541
10782,20154917100316B3,2325,6962
10782,20154917100316B3,2324,6961
10811,UT_SGFO_LUP_2022_SGFO2022-068_V12023-09-01,21975,58631
10811,UT_SGFO_LUP_2022_SGFO2022-068_V12023-09-01,21974,58628
10812,UT_St.George-LUP-Random-2021_WDL-340_V12021-09-01,1572,4674
10812,UT_St.George-LUP-Random-2021_WDL-340_V12021-09-01,1573,4675
10861,20164917100312B1,2325,6962
10861,20164917100312B1,2324,6961
10882,20164917100312B2,2325,6962
10882,20164917100312B2,2324,6961
10901,UT_SGFO_LUP_2022_SGFO2022_036_V12022-09-01,1572,4674
10901,UT_SGFO_LUP_2022_SGFO2022_036_V12022-09-01,1573,4675
10991,UT_St.George-LUP-Random-2021_XSL-159_V12021-09-01,1572,4674
10991,UT_St.George-LUP-Random-2021_XSL-159_V12021-09-01,1573,4675
10993,19050711383098292019-09-01,1572,4674
10993,19050711383098292019-09-01,1573,4675
11004,UT_SGFO_LUP_2022_SGFO2022-084_V12023-09-01,1572,4674
11004,UT_SGFO_LUP_2022_SGFO2022-084_V12023-09-01,1573,4675
11048,UT_St.George-LUP-Random-2020_WDL-336_V12020-09-01,1572,4674
11048,UT_St.George-LUP-Random-2020_WDL-336_V12020-09-01,1573,4675
11071,UT_SGFO_LUP_2022_SGFO2022_020_V12022-09-01,1572,4674
11071,UT_SGFO_LUP_2022_SGFO2022_020_V12022-09-01,1573,4675
11124,UT_St.George-LUP-Random-2020_XSL-151_V12020-09-01,1572,4674
11124,UT_St.George-LUP-Random-2020_XSL-151_V12020-09-01,1573,4675
11138,UT_SGFO_LUP_2022_SGFO2022_052_V12022-09-01,2818,8524
11138,UT_SGFO_LUP_2022_SGFO2022_052_V12022-09-01,2817,8523
11202,CO_UFO-2020_MMS-084_V12020-09-01,12974,37478
11202,CO_UFO-2020_MMS-084_V12020-09-01,12976,37480
11228,UT_St.George-LUP-Random-2020_CPL-068_V12020-09-01,1572,4674
11228,UT_St.George-LUP-Random-2020_CPL-068_V12020-09-01,1573,4675
11371,CO_UFO_LUP_2018_SS_320_V12022-09-01,12975,37479
11371,CO_UFO_LUP_2018_SS_320_V12022-09-01,12977,37481
11397,18080808050717132018-09-01,12908,37389
11397,18080808050717132018-09-01,12909,37390
11807,UT_CoCDO_AIMFIT_2022_Flatt_03_V12022-09-01,484,1425
11807,UT_CoCDO_AIMFIT_2022_Flatt_03_V12022-09-01,485,1426
12003,18073009541927352018-09-01,44,96
12003,18073009541927352018-09-01,43,95
12049,18061309363388792018-09-01,6655,19910
12049,18061309363388792018-09-01,6654,19909
12050,CO_CO_Royal_Gorge_Field_Office_LUP_2017_PI-716_V12021-09-01,44,96
12050,CO_CO_Royal_Gorge_Field_Office_LUP_2017_PI-716_V12021-09-01,43,95
12135,CO_UFO-2020_SS-267_V12020-09-01,12449,20935
12135,CO_UFO-2020_SS-267_V12020-09-01,12448,20934
12218,18070414232981442018-09-01,6390,19231
12218,18070414232981442018-09-01,6389,19230
12220,CO_UFO_LUP_2023_UFO2023-020_V22023-09-01,6390,19231
12220,CO_UFO_LUP_2023_UFO2023-020_V22023-09-01,6389,19230
12229,UT_MBFO_CYDFUELS_2023_SDR-1_V12023-09-01,6147,18475
12229,UT_MBFO_CYDFUELS_2023_SDR-1_V12023-09-01,6148,18474
12251,17080908361663982017-09-01,6146,18472
12251,17080908361663982017-09-01,6145,18471
12259,CO_UFO_LUP_2018_SS_300_V12022-09-01,6161,18526
12259,CO_UFO_LUP_2018_SS_300_V12022-09-01,6160,18525
12290,20233217206616B1,3624,11364
12290,20233217206616B1,3625,11365
12329,15062508012828012015-09-01,2853,8674
12329,15062508012828012015-09-01,2852,8673
12339,2011885031101R1,2853,8674
12339,2011885031101R1,2852,8673
12345,2011885031101R2,2853,8674
12345,2011885031101R2,2852,8673
12353,18052912522061422018-09-01,2853,8674
12353,18052912522061422018-09-01,2852,8673
12408,UT_Moab-LUP-Random-2017_SS-222_V12021-09-01,3374,10588
12408,UT_Moab-LUP-Random-2017_SS-222_V12021-09-01,3373,10587
12447,CO_UFO_GUSG_2022_LowerHorsefly_137_V12022-09-01,12546,28718
12447,CO_UFO_GUSG_2022_LowerHorsefly_137_V12022-09-01,12545,28717
12479,20234937203906B1,5959,17930
12479,20234937203906B1,5958,17929
12496,CO_UFO_GUSG_2022_LowerHorsefly_138_V12022-09-01,12546,28718
12496,CO_UFO_GUSG_2022_LowerHorsefly_138_V12022-09-01,12545,28717
12552,15062510492972452015-09-01,12375,14718
12552,15062510492972452015-09-01,12372,14717
12553,CO_UFO_GUSG_2022_LowerHorsefly_Oversample_002_V12022-09-01,12546,28718
12553,CO_UFO_GUSG_2022_LowerHorsefly_Oversample_002_V12022-09-01,12545,28717
12592,CO_UFO_GUSGHAF_2022_LowerHorsefly-143_V12023-09-01,12546,28718
12592,CO_UFO_GUSGHAF_2022_LowerHorsefly-143_V12023-09-01,12545,28717
12611,CO_UFO_GUSGHAF_2022_LowerHorsefly-146_V12023-09-01,12546,28718
12611,CO_UFO_GUSGHAF_2022_LowerHorsefly-146_V12023-09-01,12545,28717
12768,15070115065570822015-09-01,12799,37252
12768,15070115065570822015-09-01,12798,37251
12894,20154937203904B1,8657,25725
12894,20154937203904B1,8658,25724
12918,UT_MBFO_LUP_2023_MBFO2023-NR-007_V12023-09-01,5952,17923
12918,UT_MBFO_LUP_2023_MBFO2023-NR-007_V12023-09-01,5953,17922
12951,17053114510513822017-09-01,8657,25725
12951,17053114510513822017-09-01,8658,25724
12968,UT_Canyon-Country-Fuels-SHINY-2020_BRC03_V52020-09-01,976,3015
12968,UT_Canyon-Country-Fuels-SHINY-2020_BRC03_V52020-09-01,975,3014
12968,UT_Canyon-Country-Fuels-SHINY-2020_BRC03_V52020-09-01,977,3016
12982,UT_Canyon-Country-Fuels-SHINY-2020_BRB02_V52020-09-01,976,3015
12982,UT_Canyon-Country-Fuels-SHINY-2020_BRB02_V52020-09-01,975,3014
12982,UT_Canyon-Country-Fuels-SHINY-2020_BRB02_V52020-09-01,977,3016
12986,18070315460062612018-09-01,12742,37154
12986,18070315460062612018-09-01,12741,37153
12989,UT_Canyon-Country-Fuels-SHINY-2020_BRB03_V52020-09-01,976,3015
12989,UT_Canyon-Country-Fuels-SHINY-2020_BRB03_V52020-09-01,975,3014
12989,UT_Canyon-Country-Fuels-SHINY-2020_BRB03_V52020-09-01,977,3016
13017,UT_Canyon-Country-Fuels-SHINY-2020_BRC01_V52020-09-01,976,3015
13017,UT_Canyon-Country-Fuels-SHINY-2020_BRC01_V52020-09-01,975,3014
13017,UT_Canyon-Country-Fuels-SHINY-2020_BRC01_V52020-09-01,977,3016
13021,14062208315314752014-09-01,4562,13911
13021,14062208315314752014-09-01,4563,13912
13031,2016885200314B3,9002,26618
13031,2016885200314B3,9001,26617
13034,UT_Canyon-Country-Fuels-SHINY-2020_BRC02_V52020-09-01,976,3015
13034,UT_Canyon-Country-Fuels-SHINY-2020_BRC02_V52020-09-01,975,3014
13034,UT_Canyon-Country-Fuels-SHINY-2020_BRC02_V52020-09-01,977,3016
13052,UT_CoCDO_AIMFIT_2022_BearValley_1_V12022-09-01,890,2641
13052,UT_CoCDO_AIMFIT_2022_BearValley_1_V12022-09-01,889,2640
13058,UT_CCFO_LUP_2017_SS_083_V12022-09-01,890,2641
13058,UT_CCFO_LUP_2017_SS_083_V12022-09-01,889,2640
13059,CO_SWDO_Fuels_2022_Transfer_Road-2_V22023-09-01,9002,26618
13059,CO_SWDO_Fuels_2022_Transfer_Road-2_V22023-09-01,9001,26617
13060,CO_SWDO_FUELS_2022_Transfer_Road_2_V12022-09-01,9002,26618
13060,CO_SWDO_FUELS_2022_Transfer_Road_2_V12022-09-01,9001,26617
13067,CO_SWDO_FUELS_2022_Transfer_Road_1_V12022-09-01,9002,26618
13067,CO_SWDO_FUELS_2022_Transfer_Road_1_V12022-09-01,9001,26617
13070,CO_UFO_LUP_2018_PP_176_V12022-09-01,9002,26618
13070,CO_UFO_LUP_2018_PP_176_V12022-09-01,9001,26617
13096,UT_Canyon-Country-Fuels-SHINY-2020_BRB01_V52020-09-01,976,3015
13096,UT_Canyon-Country-Fuels-SHINY-2020_BRB01_V52020-09-01,975,3014
13096,UT_Canyon-Country-Fuels-SHINY-2020_BRB01_V52020-09-01,977,3016
13115,15070116214517692015-09-01,9002,26618
13115,15070116214517692015-09-01,9001,26617
13145,18072514484483882018-09-01,9002,26618
13145,18072514484483882018-09-01,9001,26617
13222,CO_SWDO_FUELS_2022_Transfer_Road_3_V12022-09-01,9002,26618
13222,CO_SWDO_FUELS_2022_Transfer_Road_3_V12022-09-01,9001,26617
13224,CO_SWDO_Fuels_2022_Transfer_Road-3_V22023-09-01,9002,26618
13224,CO_SWDO_Fuels_2022_Transfer_Road-3_V22023-09-01,9001,26617
13241,UT_Cedar-City-LUP-2017_MS-221_V12021-09-01,6809,20360
13241,UT_Cedar-City-LUP-2017_MS-221_V12021-09-01,6810,20361
13255,20214955100920B3,6939,20734
13255,20214955100920B3,6937,20735
13255,20214955100920B3,6938,20733
13275,UT_MBFO_GRA_2022_MI_34_V12022-09-01,976,3015
13275,UT_MBFO_GRA_2022_MI_34_V12022-09-01,975,3014
13275,UT_MBFO_GRA_2022_MI_34_V12022-09-01,977,3016
13297,CO_UFO_LUP_2018_RI_212_V12022-09-01,10921,32219
13297,CO_UFO_LUP_2018_RI_212_V12022-09-01,10920,32218
13324,COS05000_2019_SD-3392019-09-01,10921,32219
13324,COS05000_2019_SD-3392019-09-01,10920,32218
13358,18070213554535752018-09-01,3882,12036
13358,18070213554535752018-09-01,3881,12035
13403,UT_CCFO_LUP_2017_MS_227_V12022-09-01,5472,16563
13403,UT_CCFO_LUP_2017_MS_227_V12022-09-01,5473,16562
13403,UT_CCFO_LUP_2017_MS_227_V12022-09-01,5474,16561
13544,17071214131375562017-09-01,2838,8621
13544,17071214131375562017-09-01,2839,8620
13588,UT_Cedar-City-LUP-2017_SS-074_V12021-09-01,3678,11505
13588,UT_Cedar-City-LUP-2017_SS-074_V12021-09-01,3677,11504
13625,CO_UFO_LUP_2023_UFO2023-NR-013_V12023-09-01,5353,16260
13625,CO_UFO_LUP_2023_UFO2023-NR-013_V12023-09-01,5352,16259
13637,UT_KFO_LUP_2016_Conifer-016_V12023-09-01,7636,22754
13637,UT_KFO_LUP_2016_Conifer-016_V12023-09-01,7635,22753
13637,UT_KFO_LUP_2016_Conifer-016_V12023-09-01,7634,22752
13638,CO_CO_Grand_Junction_Field_Office_allotment_monitoring_2021_BlueMesa-020_V12021-09-01,2838,8621
13638,CO_CO_Grand_Junction_Field_Office_allotment_monitoring_2021_BlueMesa-020_V12021-09-01,2839,8620
13650,UT_CoCDO_HAF_2018_SH-271_V12023-09-01,2614,7934
13650,UT_CoCDO_HAF_2018_SH-271_V12023-09-01,2615,7935
13735,UT_Cedar-City-LUP-2017_MS-222_V12021-09-01,6581,19748
13735,UT_Cedar-City-LUP-2017_MS-222_V12021-09-01,6580,19744
13735,UT_Cedar-City-LUP-2017_MS-222_V12021-09-01,6583,19750
13735,UT_Cedar-City-LUP-2017_MS-222_V12021-09-01,6582,19749
13738,UT_Cedar-City-LUP-Random-2020_SS-058_V12020-09-01,6309,18980
13738,UT_Cedar-City-LUP-Random-2020_SS-058_V12020-09-01,6308,18981
13741,UT_CCFO_LUP_2017_MS-238_V12023-09-01,2146,6353
13741,UT_CCFO_LUP_2017_MS-238_V12023-09-01,2147,6354
13776,CO_UFO_GUSG_2022_GreenMtnMiddle_086_V12022-09-01,4455,13588
13776,CO_UFO_GUSG_2022_GreenMtnMiddle_086_V12022-09-01,4454,13587
13781,UT_Color-Country-Random-HAF-2018_SH-214_V12020-09-01,2614,7934
13781,UT_Color-Country-Random-HAF-2018_SH-214_V12020-09-01,2615,7935
13782,UT_CCFO_LUP_2017_SS-121_V12023-09-01,6612,19815
13782,UT_CCFO_LUP_2017_SS-121_V12023-09-01,6611,19814
13789,UT_CCFO_LUP_2017_RI_317_V12022-09-01,6581,19748
13789,UT_CCFO_LUP_2017_RI_317_V12022-09-01,6580,19744
13789,UT_CCFO_LUP_2017_RI_317_V12022-09-01,6583,19750
13789,UT_CCFO_LUP_2017_RI_317_V12022-09-01,6582,19749
13794,CO_UFO_GUSG_2022_GreenMtnMiddle_083_V12022-09-01,4455,13588
13794,CO_UFO_GUSG_2022_GreenMtnMiddle_083_V12022-09-01,4454,13587
13807,UT_CoCDO_HAF_2018_SH_154_V12022-09-01,7311,21825
13807,UT_CoCDO_HAF_2018_SH_154_V12022-09-01,7310,21822
13821,UT_Cedar-City-LUP-Random-2020_SS-051_V12020-09-01,2614,7934
13821,UT_Cedar-City-LUP-Random-2020_SS-051_V12020-09-01,2615,7935
13825,COS05000_2019_SS-2392019-09-01,12292,10085
13825,COS05000_2019_SS-2392019-09-01,12293,10084
13850,UT_Color-Country-ESR-Targeted-2020_7_V12020-09-01,7311,21825
13850,UT_Color-Country-ESR-Targeted-2020_7_V12020-09-01,7310,21822
13906,19062409075235762019-09-01,1982,5869
13906,19062409075235762019-09-01,1981,5868
13987,CO_UFO_GUSG_2022_BlackRidge_010_V12022-09-01,991,3059
13987,CO_UFO_GUSG_2022_BlackRidge_010_V12022-09-01,990,3058
14036,20144921204019B1,3572,11207
14036,20144921204019B1,3573,11208
